Lemma,Sense Key,Definition,Frequency,Correct Translation?,Correct Definition?,Notes
oircnid,killer%1:18:00::,someone who causes the death of a person or animal,2,,,
carae,friend%1:18:00::,a person you know well and regard with affection and trust,2,,1,
siur,sister%1:18:00::,a female person who has the same parents as another person,3,,1,
il,many%3:00:00::,"a quantifier that can be used with count nouns and is often preceded by ‘as’ or ‘too’ or ‘so’ or ‘that’; amounting to a large but indefinite number; quantifier, plural pronoun; quantifier, plural",21,"many, numerous",1,"The definition makes reference to specifically English syntax."
asbeir,mention%2:32:02::,make reference to,9,,,
tairmthecht,passage%1:04:04::,the act of passing from one state or place to the next,3,,,
tairmthechtas,passage%1:04:04::,the act of passing from one state or place to the next,2,,,
buide,yellow%5:00:00:chromatic:00,of the color intermediate between green and orange in the color spectrum; of something resembling the color of an egg yolk,2,,,
glaine,jaw%1:08:00::,the part of the skull of a vertebrate that frames the mouth and holds the teeth,2,,,
séol,sail%1:06:00::,a large piece of fabric (usually canvas fabric) by means of which wind is used to propel a sailing vessel,2,,,
follus,apparent%5:00:00:obvious:00,clearly revealed to the mind or the senses or judgment,7,,,
fogur,sound%1:09:00::,the subjective sensation of hearing something,2,"sound",1,"Rather the thing that is heard, rather than the sensation of hearing it."
cruth,manner%1:07:02::,how something is done or how it happens,4,,,
fogur,audio%1:10:00::,the audible part of a transmitted signal,2,"sound",1,"The definition may be anachronistic, but is roughly correct."
loor,adequate%5:00:00:sufficient:00,sufficient for the purpose,2,,,
búaid,victory%1:11:00::,a successful ending of a struggle or contest,4,,,
oentu,integrity%1:26:00::,an undivided or unbroken completeness or totality with nothing wanting,3,,,
ógae,integrity%1:26:00::,an undivided or unbroken completeness or totality with nothing wanting,2,,,
lechdach,liquid%1:10:00::,a frictionless continuant that is not a nasal consonant (especially ‘l’ and ‘r’),2,,1,
foacomol,supplementation%1:04:00::,the act of supplementing,3,,,
dano,then%4:02:00::,subsequently or soon afterward (often used as sentence connectors),4,"therefore, then, accordingly",1,
didiu,then%4:02:00::,subsequently or soon afterward (often used as sentence connectors),3,"therefore, hence, then, thereupon",1,
dead,end%1:09:00::,a final part or section,4,,,
forcenn,end%1:09:00::,a final part or section,3,,,
timorcon,shortening%1:04:00::,act of decreasing in length,2,,,
indlach,dieresis%1:10:00::,a diacritical mark (two dots) placed over a vowel to indicate that it does not form a diphthong with an adjacent vowel,2,,,
airitiu,premise%1:10:00::,a statement that is assumed to be true and from which a conclusion can be drawn,2,,,
conoscaigi,change%2:30:01::,cause to change; make different; cause a transformation,7,,,
dobeir,give%2:40:07::,convey or reveal information,6,,,
íth,pottage%1:13:00::,a stew of vegetables and (sometimes) meat,3,,,
aricc,determine%2:32:00::,"establish after a calculation, investigation, experiment, survey, or study",2,,,
comṡuidigud,compound_word%1:10:01::,"a word (as anthropology, kilocycle, builder) consisting of any of various combinations of words, combining forms, or affixes.",4,,,
túas,above%4:02:00::,(in writing) at an earlier place,5,,,
anúas,above%4:02:00::,(in writing) at an earlier place,3,,,
dogní,make%2:41:00::,engage in,10,,,
gníid,make%2:41:00::,engage in,4,,,
díuitius,simplicity%1:07:02::,the quality of being simple or uncompounded,2,,,
